# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3096
#@/user_id	xiaoyi-sp9
a 	啊	c=8 d=1.17034 t=3096
ai 	愛	c=1 d=0.400517 t=3096
ai ai 	唉唉	c=9 d=3.14311 t=3096
ai ai 	愛愛	c=2 d=0.117559 t=3096
ai hao 	愛好	c=1 d=0.465334 t=3096
ai ya 	哎呀	c=1 d=0.585669 t=3096
an 	按	c=1 d=0.0278757 t=3096
an dun hao 	安頓好	c=1 d=0.0629761 t=3096
an xin 	安心	c=1 d=0.0620385 t=3096
ao ao jiao 	嗷嗷叫	c=1 d=0.245367 t=3096
ba 	吧	c=3 d=0.516851 t=3096
ba 	把	c=7 d=1.49305 t=3096
bai cai 	白菜	c=1 d=0.242926 t=3096
bai qie ji 	白切雞	c=1 d=0.215456 t=3096
bai tuo 	拜託	c=1 d=0.092089 t=3096
bai tuo 	擺脫	c=1 d=0.0916297 t=3096
ban 	版	c=0 d=0.000909528 t=3096
ban 	辦	c=1 d=0.729789 t=3096
ban ben 	版本	c=4 d=1.68269 t=3096
ban dao 	半島	c=1 d=0.782705 t=3096
ban dao 	搬到	c=1 d=0.718924 t=3096
ban jia 	半價	c=1 d=0.565525 t=3096
ban li 	辦理	c=0 d=0.0718924 t=3096
ban li dao 	辦理到	c=1 d=0.722527 t=3096
bang bu shang 	幫不上	c=1 d=0.113042 t=3096
bao bao 	包包	c=1 d=0.285076 t=3096
bao bao 	寶寶	c=6 d=2.47973 t=3096
bao chi 	保持	c=1 d=0.386741 t=3096
bao li 	包裏	c=1 d=0.00546167 t=3096
bao lu 	暴露	c=4 d=0.744453 t=3096
bao peng 	爆棚	c=2 d=1.39108 t=3096
bao wen bei 	保溫杯	c=1 d=0.318224 t=3096
bao yu 	暴雨	c=1 d=0.873716 t=3096
bao zheng 	保證	c=1 d=0.591555 t=3096
bei guang 	背光	c=4 d=0.996069 t=3096
bei mian 	杯麪	c=1 d=0.085435 t=3096
bei yong 	備用	c=0 d=0.00204453 t=3096
bei yong ji 	備用機	c=1 d=0.0205478 t=3096
ben shen 	本身	c=1 d=0.0381969 t=3096
bi 	比	c=6 d=0.97531 t=3096
bi 	筆	c=1 d=0.0239928 t=3096
bi bu guo 	比不過	c=1 d=0.810584 t=3096
bi jiao 	比較	c=2 d=0.346456 t=3096
bi jing 	畢竟	c=3 d=0.26189 t=3096
bi mian 	避免	c=1 d=0.447088 t=3096
bi ru 	比如	c=1 d=0.0858632 t=3096
bi sai 	比賽	c=1 d=0.865022 t=3096
